 Container task-queue-redis-1 Running 
 Container task-queue-producer-run-565935f6a08d Creating 
 Container task-queue-producer-run-565935f6a08d Created 
Connected to Redis!
worker-2  | Connected to Redis!
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663721264832] Processed Task 61 (Type: EMAIL)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663612311232] Processed Task 62 (Type: CONVERT)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663704479424] Processed Task 18 (Type: UPLOAD)
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735797913280] Processed Task 41 (Type: CONVERT)
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663712872128] Processing task 64 failed, retry #1
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663696086720] Processing task 71 failed, retry #1
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663704479424] Task 75 finished in 52ms
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663612311232] Task 74 finished in 53ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735806305984] Task 44 finished in 32ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735789520576] Processed Task 42 (Type: UPLOAD)
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663712872128] Task 76 finished in 53ms
worker-2  | [2026-02-20 19:07:52] [Error] [Thread 139663721264832] Processing task 73 failed, retry #1
worker-2  | [2026-02-20 19:07:52] [Info] [Thread 139663704479424] Processed Task 75 (Type: UPLOAD)
worker-3  | [2026-02-20 19:07:52] [Error] [Thread 139735781127872] Processing task 43 failed, retry #1
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735806305984] Processed Task 44 (Type: CONVERT)
worker-3  | [2026-02-20 19:07:52] [Error] [Thread 139735772735168] Processing task 46 failed, retry #1
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735797913280] Task 56 finished in 40ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735781127872] Task 57 finished in 40ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735789520576] Task 17 finished in 60ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735797913280] Processed Task 56 (Type: CONVERT)
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735806305984] Task 58 finished in 41ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735789520576] Processed Task 17 (Type: CONVERT)
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735781127872] Processed Task 57 (Type: UPLOAD)
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735806305984] Processed Task 58 (Type: EMAIL)
worker-3  | [2026-02-20 19:07:52] [Error] [Thread 139735772735168] Processing task 60 failed, retry #1
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735797913280] Task 67 finished in 46ms
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735789520576] Task 68 finished in 46ms
worker-3  | [2026-02-20 19:07:52] [Error] [Thread 139735781127872] Processing task 69 failed, retry #1
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735797913280] Processed Task 67 (Type: EMAIL)
worker-3  | [2026-02-20 19:07:52] [Info] [Thread 139735806305984] Task 70 finished in 47ms
